labels	start	stop
music	0.0	1.06
speech	1.06	9.3
noEnergy	9.3	9.9
speech	9.9	14.200000000000001
noEnergy	14.200000000000001	15.120000000000001
speech	15.120000000000001	25.060000000000002
noEnergy	25.060000000000002	25.84
speech	25.84	29.72
noEnergy	29.72	30.66
speech	30.66	39.68
noEnergy	39.68	40.54
speech	40.54	46.6
noEnergy	46.6	47.28
speech	47.28	56.68
noEnergy	56.68	57.84
speech	57.84	61.08
noEnergy	61.08	61.64
speech	61.64	71.36
noEnergy	71.36	72.18
speech	72.18	77.56
noEnergy	77.56	78.56
speech	78.56	81.48
noEnergy	81.48	82.04
speech	82.04	89.60000000000001
noEnergy	89.60000000000001	90.32000000000001
speech	90.32000000000001	96.10000000000001
noEnergy	96.10000000000001	96.68
speech	96.68	98.42
noEnergy	98.42	99.0
speech	99.0	99.48
noEnergy	99.48	100.04
speech	100.04	102.66
noEnergy	102.66	103.62
speech	103.62	121.26
noEnergy	121.26	121.74000000000001
speech	121.74000000000001	146.42000000000002
noEnergy	146.42000000000002	146.82
speech	146.82	149.76
noEnergy	149.76	150.22
speech	150.22	155.48
noEnergy	155.48	156.56
speech	156.56	161.58
noEnergy	161.58	162.82
speech	162.82	194.58
noEnergy	194.58	196.88
speech	196.88	199.46
noEnergy	199.46	200.3
speech	200.3	204.08
noEnergy	204.08	204.5
speech	204.5	210.46
noEnergy	210.46	211.24
speech	211.24	217.18
noEnergy	217.18	217.9
speech	217.9	221.28
noEnergy	221.28	221.9
speech	221.9	223.06
noEnergy	223.06	224.16
speech	224.16	238.46
noEnergy	238.46	239.28
speech	239.28	263.62
noEnergy	263.62	264.12
speech	264.12	266.54
noEnergy	266.54	267.72
speech	267.72	269.08
noEnergy	269.08	269.6
speech	269.6	273.94
noEnergy	273.94	275.24
speech	275.24	277.34000000000003
noEnergy	277.34000000000003	277.88
speech	277.88	279.34000000000003
noEnergy	279.34000000000003	280.18
speech	280.18	281.18
noEnergy	281.18	281.84000000000003
noise	281.84000000000003	282.24
noEnergy	282.24	282.96
speech	282.96	283.40000000000003
noEnergy	283.40000000000003	284.7
speech	284.7	306.54
noEnergy	306.54	307.18
speech	307.18	315.34000000000003
noEnergy	315.34000000000003	315.88
speech	315.88	322.1
noEnergy	322.1	322.98
speech	322.98	328.08
noEnergy	328.08	329.06
speech	329.06	336.06
noEnergy	336.06	336.98
speech	336.98	339.96
noEnergy	339.96	340.8
speech	340.8	355.94
noEnergy	355.94	356.42
speech	356.42	358.94
noEnergy	358.94	359.74
speech	359.74	360.04
noEnergy	360.04	360.6
speech	360.6	365.5
noEnergy	365.5	365.98
speech	365.98	366.90000000000003
noEnergy	366.90000000000003	367.90000000000003
speech	367.90000000000003	370.0
noEnergy	370.0	370.48
speech	370.48	383.14
noEnergy	383.14	383.86
speech	383.86	391.56
noEnergy	391.56	392.26
speech	392.26	394.48
noEnergy	394.48	395.08
speech	395.08	399.92
noEnergy	399.92	400.6
speech	400.6	412.88
noEnergy	412.88	413.8
speech	413.8	420.3
noEnergy	420.3	420.88
speech	420.88	423.22
noEnergy	423.22	424.40000000000003
speech	424.40000000000003	424.90000000000003
noEnergy	424.90000000000003	425.46000000000004
speech	425.46000000000004	436.2
noEnergy	436.2	437.16
speech	437.16	439.8
noEnergy	439.8	440.3
speech	440.3	445.90000000000003
noEnergy	445.90000000000003	446.66
speech	446.66	452.92
noEnergy	452.92	453.68
speech	453.68	461.68
noEnergy	461.68	462.32
speech	462.32	463.28000000000003
noEnergy	463.28000000000003	464.08
speech	464.08	466.24
noEnergy	466.24	466.68
speech	466.68	480.96000000000004
noEnergy	480.96000000000004	481.54
speech	481.54	485.2
noEnergy	485.2	485.6
speech	485.6	486.6
noEnergy	486.6	487.2
speech	487.2	503.34000000000003
noEnergy	503.34000000000003	503.90000000000003
speech	503.90000000000003	509.76
noEnergy	509.76	510.48
speech	510.48	511.58
noEnergy	511.58	512.46
speech	512.46	522.42
noEnergy	522.42	523.16
speech	523.16	526.1800000000001
noEnergy	526.1800000000001	527.44
speech	527.44	530.94
noEnergy	530.94	531.5600000000001
speech	531.5600000000001	536.12
noEnergy	536.12	536.86
speech	536.86	553.26
noEnergy	553.26	554.78
speech	554.78	567.1800000000001
noEnergy	567.1800000000001	568.5
speech	568.5	592.52
noEnergy	592.52	593.12
speech	593.12	616.14
noEnergy	616.14	617.1
speech	617.1	619.88
noEnergy	619.88	620.94
speech	620.94	625.34
noEnergy	625.34	625.9
speech	625.9	632.0
noEnergy	632.0	632.8000000000001
speech	632.8000000000001	676.94
noEnergy	676.94	678.02
speech	678.02	688.64
noEnergy	688.64	689.0600000000001
speech	689.0600000000001	696.08
noEnergy	696.08	696.84
speech	696.84	703.48
noEnergy	703.48	704.04
speech	704.04	708.28
noEnergy	708.28	708.6800000000001
speech	708.6800000000001	715.9
noEnergy	715.9	717.08
speech	717.08	719.54
noEnergy	719.54	720.2
speech	720.2	722.38
noEnergy	722.38	723.1800000000001
speech	723.1800000000001	728.16
noEnergy	728.16	729.24
speech	729.24	732.16
noEnergy	732.16	732.7
speech	732.7	734.36
noEnergy	734.36	735.0
speech	735.0	745.64
noEnergy	745.64	746.28
speech	746.28	755.0
noEnergy	755.0	755.78
speech	755.78	758.54
noEnergy	758.54	758.94
speech	758.94	759.36
noEnergy	759.36	760.26
speech	760.26	767.08
noEnergy	767.08	767.96
speech	767.96	768.86
noEnergy	768.86	769.36
speech	769.36	771.0
noEnergy	771.0	771.46
speech	771.46	773.54
noEnergy	773.54	774.94
speech	774.94	778.4
noEnergy	778.4	778.9200000000001
speech	778.9200000000001	782.66
noEnergy	782.66	783.4
speech	783.4	786.0
noEnergy	786.0	787.2
speech	787.2	789.34
noEnergy	789.34	790.14
speech	790.14	792.8000000000001
noEnergy	792.8000000000001	794.24
speech	794.24	802.66
noEnergy	802.66	803.14
speech	803.14	805.58
noEnergy	805.58	806.26
speech	806.26	818.66
noEnergy	818.66	819.3000000000001
speech	819.3000000000001	820.1
noEnergy	820.1	820.52
speech	820.52	822.5
noEnergy	822.5	823.02
speech	823.02	829.58
noEnergy	829.58	830.34
speech	830.34	831.12
noEnergy	831.12	831.8000000000001
speech	831.8000000000001	832.24
noEnergy	832.24	832.64
speech	832.64	834.52
noEnergy	834.52	835.28
speech	835.28	836.72
noEnergy	836.72	837.5600000000001
speech	837.5600000000001	845.4
noEnergy	845.4	845.88
speech	845.88	846.78
noEnergy	846.78	847.82
